density_m^-3,bulk_speed_m_s,kinetic_energy_flux_W_m^-2,usable_power_W
1000000.0,200000.0,6.6904876947600005e-06,6.690487694760001e-07
1000000.0,300000.0,2.2580395969815e-05,2.2580395969815e-06
1000000.0,400000.0,5.3523901558080004e-05,5.3523901558080006e-06
1000000.0,500000.0,0.00010453887023062501,1.0453887023062501e-05
1000000.0,600000.0,0.00018064316775852,1.8064316775852e-05
2500000.0,200000.0,1.67262192369e-05,1.67262192369e-06
2500000.0,300000.0,5.64509899245375e-05,5.645098992453751e-06
2500000.0,400000.0,0.0001338097538952,1.338097538952e-05
2500000.0,500000.0,0.0002613471755765625,2.6134717557656252e-05
2500000.0,600000.0,0.0004516079193963,4.5160791939630005e-05
5000000.0,200000.0,3.34524384738e-05,3.34524384738e-06
5000000.0,300000.0,0.000112901979849075,1.1290197984907501e-05
5000000.0,400000.0,0.0002676195077904,2.676195077904e-05
5000000.0,500000.0,0.000522694351153125,5.2269435115312504e-05
5000000.0,600000.0,0.0009032158387926,9.032158387926001e-05
10000000.0,200000.0,6.69048769476e-05,6.69048769476e-06
10000000.0,300000.0,0.00022580395969815,2.2580395969815002e-05
10000000.0,400000.0,0.0005352390155808,5.352390155808e-05
10000000.0,500000.0,0.00104538870230625,0.00010453887023062501
10000000.0,600000.0,0.0018064316775852,0.00018064316775852002
20000000.0,200000.0,0.0001338097538952,1.338097538952e-05
20000000.0,300000.0,0.0004516079193963,4.5160791939630005e-05
20000000.0,400000.0,0.0010704780311616,0.00010704780311616
20000000.0,500000.0,0.0020907774046125,0.00020907774046125002
20000000.0,600000.0,0.0036128633551704,0.00036128633551704004
