dt_s,initial_energy_eV,final_energy_eV,relative_energy_change
5e-11,1214271708.5955424,1214271708.5955436,9.300839250095273e-16
1e-10,1214271708.5955424,1214271708.5955436,9.300839250095273e-16
2e-10,1214271708.5955424,1214271708.5955436,9.300839250095273e-16
5e-10,1214271708.5955424,1214271708.5955436,9.300839250095273e-16
